,RUT_ENMASCARADO,PERS_SEXO,EDAD,CODUA,ANNIO_INGRESO,RAMA_EDUCACIONAL,PROVINCIA_ESTAB_EDUC,BEA,GRUPO_DEPENDENCIA,ANNIO_EGRESO_E_MEDIA,PROM_NOTAS_E_MEDIA,PUNTAJE_NEM,PUNTAJE_RANKING,PTJE_LENGUAJE,PTJE_MATEMATICA,PTJE_HIST_CS_SOCIALES,PTJE_CIENCIAS,PROM_LENG_Y_MAT,PTJE_PONDERADO,SITUACION_EGRESO_EDUCACIONAL,INGRESO_BRUTO_FAMILIAR,PROMEDIO_PRIMER_ANNIO,PROMEDIO_ALUMNO_EN_CARRERA,CANT_RAMOS_INSCRITOS_CARRERA,CANT_RAMOS_APROBADOS_CARRERA,CANT_RAMOS_PLAN_CARRERA,PORCENTAJE_AVANCE_CARRERA,CANT_RAMOS_OP2,CANT_RAMOS_OP3,CANT_RAMOS_OP4,DESERTA
718,19983989,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,6.33,688.0,736.0,586.0,656.0,524.0,597.0,621.0,661.0,Prom.Año: Nac–alumno regular,9.0,5.82,6.13,55,55,56,98.21,0,0,0,0
723,19984048,M,Edad 24-26,Ingeco,2018,H2,EL LOA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.03,426.0,422.0,496.0,564.0,491.0,495.0,530.0,469.0,Prom.Ant: Nac–alumno regular,10.0,5.0,4.75,52,48,56,85.71,4,0,0,0
727,19995087,F,Edad 24-26,Enfermeria,2017,T1,ANTOFAGASTA,BEA,Municipal,Egreso media 2015-2020,6.48,719.0,787.0,427.0,360.0,391.0,529.039387308534,393.5,599.0808080808081,Prom.Año: Nac–alumno regular,5.0,4.65,5.55,58,54,56,96.43,3,0,0,0
732,19995150,F,Edad 17-23,Enfermeria,2019,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.5,723.0,753.0,663.0,527.0,564.0,392.0,595.0,599.0808080808081,Prom.Año: Nac–alumno regular,6.0,5.7,5.8,34,34,56,60.71,0,0,0,0
735,20003102,F,Edad 24-26,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Municipal,Egreso media 2015-2020,6.25,672.0,695.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,630.0,Prom.Ant: Nac–alumno regular,6.0,4.26,5.26,54,44,56,78.57,3,2,1,0
740,20005756,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.95,610.0,638.0,508.0,597.0,522.7393162393163,462.0,552.5,578.0,Prom.Año: Nac–alumno regular,10.0,5.29,5.29,52,51,56,91.07,0,0,0,0
744,20005805,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.18,451.0,451.0,473.0,530.0,522.7393162393163,422.0,501.5,465.0,Prom.Ant: Nac–alumno regular,10.0,4.47,4.1,29,21,56,37.5,4,1,0,1
749,20005872,F,Edad 24-26,Ingeco,2017,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.18,454.0,454.0,541.0,504.0,447.0,422.0,522.5,482.0,Prom.Año: Nac–alumno regular,5.0,4.24,4.36,53,43,56,76.79,7,0,0,0
754,20005992,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.45,507.0,507.0,549.0,583.0,522.7393162393163,578.0,566.0,537.0,Prom.Ant: Nac–alumno regular,8.0,5.05,4.22,58,43,56,76.79,7,2,0,0
759,20006128,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.33,482.0,482.0,451.0,469.0,518.0,529.039387308534,460.0,599.0808080808081,Prom.Año: Nac–alumno regular,8.0,4.76,4.58,50,46,56,82.14,3,0,0,0
764,20006134,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.68,554.0,554.0,571.0,597.0,522.7393162393163,585.0,584.0,569.0,Prom.Año: Nac–alumno regular,10.0,5.13,5.81,56,55,56,98.21,2,0,0,0
769,20006167,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.38,492.0,492.0,508.0,583.0,583.0,602.0,545.5,520.0,Prom.Año: Nac–alumno regular,7.0,5.96,5.9,22,22,56,39.29,0,0,0,1
774,20006174,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.48,513.0,513.0,465.0,523.0,469.0,529.039387308534,494.0,498.0,Prom.Año: Nac–alumno regular,3.0,3.33,2.64,22,11,56,19.64,0,0,0,0
779,20006212,M,Edad 17-23,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.76,4.57,21,19,56,33.93,10,1,0,0
782,20006376,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.45,507.0,507.0,630.0,597.0,522.7393162393163,602.0,613.5,599.0808080808081,Prom.Año: Nac–alumno regular,6.0,5.65,5.89,55,55,56,98.21,0,0,0,0
787,20006380,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.93,605.0,642.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Prom.Ant: Nac–alumno regular,5.0,5.22,5.85,52,51,56,91.07,1,0,0,0
792,20006423,M,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.4,702.0,738.0,620.0,551.0,522.7393162393163,591.0,585.5,651.0,Prom.Ant: Nac–alumno regular,5.0,5.49,6.02,43,43,56,76.79,0,0,0,0
796,20006483,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.18,657.0,659.0,595.0,616.0,536.0,630.0,605.5,649.0,Prom.Año: Nac–alumno regular,9.0,5.43,5.94,45,44,56,78.57,0,0,0,0
800,20006494,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.33,482.0,489.0,442.0,575.0,475.0,558.0,508.5,496.0,Prom.Ant: Nac–alumno regular,7.0,4.9,5.05,51,48,56,85.71,1,0,0,0
804,20006615,M,Edad 24-26,Ingeco,2018,T1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.48,515.0,519.0,563.0,523.0,558.0,529.039387308534,543.0,534.0,Prom.Año: Nac–alumno regular,4.0,4.38,4.31,49,41,56,73.21,4,1,0,0
808,20006653,M,Edad 24-26,Ingeco,2019,T2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.03,423.0,423.0,458.0,504.0,292.0,462.0,481.0,599.0808080808081,Prom.Año: Nac–alumno regular,8.0,3.82,3.96,30,20,56,35.71,1,0,0,0
811,20006770,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.23,461.0,461.0,523.0,544.0,611.0,529.039387308534,533.5,503.0,Prom.Año: Nac–alumno regular,10.0,3.36,3.44,17,10,56,17.86,0,1,0,1
815,20006803,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.73,564.0,564.0,534.0,550.0,522.7393162393163,606.0,542.0,559.0,Prom.Año: Nac–alumno regular,1.0,5.68,5.85,45,44,56,78.57,1,0,0,0
819,20006855,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.45,713.0,776.0,630.0,562.0,594.0,546.0,596.0,662.0,Prom.Año: Nac–alumno regular,10.0,5.13,5.16,58,51,56,91.07,0,0,1,0
824,20007023,M,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.05,631.0,631.0,650.0,625.0,518.0,611.0,637.5,631.0,Prom.Año: Nac–alumno regular,10.0,3.1,3.1,2,0,56,47.51147540983606,0,0,0,1
829,20007108,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.13,647.0,654.0,521.0,530.0,447.0,462.0,525.5,599.0808080808081,Prom.Año: Nac–alumno regular,7.0,5.98,5.21,60,56,56,100.0,3,0,0,0
834,20007136,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.33,688.0,733.0,556.0,638.0,522.7393162393163,666.0,597.0,658.0,Prom.Año: Nac–alumno regular,10.0,5.42,5.75,55,55,56,98.21,0,0,0,0
839,20007183,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,BEA,Municipal,Egreso media 2015-2020,6.23,667.0,696.0,612.0,537.0,492.0,512.0,574.5,620.0,Prom.Año: Nac–alumno regular,6.0,5.5,6.04,55,55,56,98.21,0,0,0,0
844,20007340,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.3,682.0,727.0,603.0,572.0,522.7393162393163,623.0,587.5,647.0,Prom.Año: Nac–alumno regular,6.0,5.46,6.04,55,55,56,98.21,0,0,0,0
849,20007380,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.53,523.0,523.0,487.0,562.0,374.0,561.0,524.5,527.0,Prom.Año: Nac–alumno regular,7.0,5.28,5.8,56,55,56,98.21,1,0,0,0
854,20007430,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.03,626.0,631.0,508.0,537.0,522.7393162393163,535.0,522.5,576.0,Prom.Año: Nac–alumno regular,10.0,5.24,5.83,55,55,56,98.21,0,0,0,0
859,20007449,M,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.4,496.0,496.0,523.0,544.0,522.7393162393163,551.0,533.5,599.0808080808081,Prom.Año: Nac–alumno regular,10.0,4.02,4.5,33,26,56,46.43,2,0,0,0
862,20007494,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.58,534.0,534.0,586.0,556.0,522.7393162393163,497.0,571.0,546.0,Prom.Año: Nac–alumno regular,7.0,4.94,4.97,53,51,56,91.07,1,0,0,0
866,20007499,F,Edad 24-26,Enfermeria,2019,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.03,420.0,420.0,588.0,614.0,522.7393162393163,611.0,601.0,496.0,Prom.Ant: Nac–alumno regular,6.0,5.4,5.6,32,32,56,57.14,0,0,0,0
869,20007556,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,4.962957516339872,5.43,36,36,56,64.29,12,0,0,0
874,20007600,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.13,441.0,441.0,556.0,469.0,518.0,529.039387308534,512.5,481.0,Prom.Año: Nac–alumno regular,1.0,4.3,3.74,56,36,56,64.29,7,1,1,0
879,20007708,M,Edad 24-26,Ingeco,2017,H1,TOCOPILLA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.33,482.0,482.0,503.0,386.0,522.7393162393163,425.0,444.5,488.0,Prom.Ant: Nac–alumno regular,6.0,4.76,3.82,42,27,56,48.21,2,2,0,0
884,20007817,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.1,641.0,651.0,541.0,625.0,522.7393162393163,582.0,583.0,613.0,Prom.Año: Nac–alumno regular,1.0,5.42,5.71,56,55,56,98.21,0,0,0,0
889,20007829,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.43,502.0,502.0,521.0,421.0,536.0,529.039387308534,471.0,515.0,Prom.Año: Nac–alumno regular,3.0,4.0,4.35,43,34,56,60.71,4,0,1,0
893,20007838,M,Edad 24-26,Ingeco,2017,H1,OTRA PROVINCIA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.98,616.0,628.0,549.0,421.0,589.0,529.039387308534,485.0,569.0,Prom.Año: Nac–alumno regular,4.0,4.91,4.32,56,43,56,76.79,7,1,0,0
898,20007875,M,Edad 24-26,Ingeco,2017,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.6,551.0,591.0,415.0,379.0,522.7393162393163,435.0,397.0,522.0,Prom.Ant: Nac–alumno regular,3.0,4.37,3.5,16,11,56,19.64,0,0,0,1
903,20008096,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.55,734.0,790.0,527.0,523.0,522.7393162393163,450.0,525.0,633.0,Prom.Año: Nac–alumno regular,8.0,5.69,6.06,54,54,56,96.43,0,0,0,0
908,20008125,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,6.03,626.0,631.0,646.0,656.0,522.7393162393163,637.0,651.0,638.0,Prom.Ant: Nac–alumno regular,8.0,5.42,5.86,41,40,56,71.43,1,0,0,0
912,20019897,F,Edad 17-23,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.83,585.0,590.0,596.0,644.0,522.7393162393163,606.0,620.0,599.0808080808081,Prom.Año: Nac–alumno regular,6.0,4.962957516339872,6.18,21,21,56,37.5,9,0,0,0
916,20021050,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,BEA,Municipal,Egreso media 2015-2020,6.23,667.0,696.0,549.0,556.0,522.7393162393163,524.0,552.5,612.0,Prom.Año: Nac–alumno regular,2.0,4.4,4.4,6,4,56,7.14,0,0,0,1
921,20022043,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.45,713.0,752.0,419.0,587.0,522.7393162393163,597.0,503.0,625.0,Prom.Ant: Nac–alumno regular,5.0,5.65,5.94,55,55,56,98.21,0,0,0,0
926,20022272,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.45,507.0,512.0,458.0,640.0,542.0,545.0,549.0,520.0,Prom.Año: Nac–alumno regular,5.0,4.28,3.4,28,13,56,23.21,5,1,0,1
930,20022428,M,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.33,688.0,704.0,650.0,629.0,522.7393162393163,574.0,639.5,660.0,Prom.Año: Nac–alumno regular,2.0,4.24,4.66,53,40,56,71.43,5,1,1,0
935,20022538,M,Edad 24-26,Ingeco,2018,T2,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.5,519.0,519.0,510.0,507.0,510.0,529.039387308534,508.5,514.0,Prom.Ant: Nac–alumno regular,4.0,3.61,3.92,37,26,56,46.43,4,2,0,0
939,20022677,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Servicio Local de Educacion,nan,5.8434098939929395,605.2927689594356,636.5097001763669,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,599.0808080808081,Otra situacion,6.0,3.89,2.7,29,19,56,33.93,5,0,0,0
944,20023102,M,Edad 24-26,Ingeco,2018,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.23,668.0,718.0,516.0,504.0,512.0,471.0,510.0,609.0,Prom.Año: Nac–alumno regular,4.0,4.43,4.85,47,45,56,80.36,1,0,0,0
948,20023119,F,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.58,534.0,537.0,496.0,575.0,522.7393162393163,457.0,535.5,524.0,Prom.Ant: Nac–alumno regular,8.0,4.64,4.77,54,50,56,89.29,2,0,0,0
952,20023226,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.5,723.0,760.0,580.0,601.0,590.0,642.0,590.5,669.0,Prom.Ant: Nac–alumno regular,2.0,5.84,6.21,44,44,56,78.57,0,0,0,0
956,20023273,F,Edad 24-26,Enfermeria,2017,T3,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.18,658.0,751.0,502.0,504.0,522.7393162393163,556.0,503.0,599.0808080808081,Prom.Año: Nac–alumno regular,6.0,4.66,5.29,49,43,56,76.79,3,1,0,0
961,20023343,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.88,801.0,840.0,502.0,642.0,522.7393162393163,615.0,572.0,725.0,Prom.Año: Nac–alumno regular,8.0,5.91,5.91,12,12,56,21.43,0,0,0,1
965,20023419,F,Edad 24-26,Enfermeria,2017,T3,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.5,723.0,850.0,393.0,360.0,522.7393162393163,353.0,376.5,599.0808080808081,Prom.Año: Nac–alumno regular,5.0,4.78,5.78,49,46,56,82.14,3,0,0,0
970,20023424,M,Edad 24-26,Ingeco,2017,T2,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.45,509.0,509.0,494.0,530.0,522.7393162393163,312.0,512.0,488.0,Prom.Año: Nac–alumno regular,2.0,4.89,5.23,58,56,56,100.0,0,0,0,0
975,20023547,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.3,700.0,727.0,766.0,690.0,522.7393162393163,727.0,728.0,689.0,Prom.Ant: Nac–alumno regular,8.0,6.01,6.01,12,12,56,21.43,0,0,0,1
980,20023553,F,Edad 24-26,Ingeco,2017,T1,ANTOFAGASTA,BEA,Municipal,Egreso media 2015-2020,5.95,611.0,657.0,305.0,212.0,336.0,353.0,258.5,599.0808080808081,Prom.Año: Nac–alumno regular,4.0,4.96,4.48,41,32,56,57.14,2,1,0,0
985,20023592,F,Edad 24-26,Ingeco,2019,T3,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.7,560.0,647.0,495.0,482.0,522.7393162393163,475.0,488.5,558.0,Prom.Año: Nac–alumno regular,5.0,4.95,3.6,30,17,56,30.36,5,0,0,0
988,20023774,F,Edad 24-26,Enfermeria,2019,T2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.93,607.0,630.0,292.0,403.0,522.7393162393163,373.0,347.5,558.0,Prom.Año: Nac–alumno regular,5.0,5.3,5.7,35,33,56,58.93,0,1,0,0
991,20023896,M,Edad 24-26,Ingeco,2017,H2,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.47,515.0,550.0,595.0,543.0,583.0,546.0,569.0,599.0808080808081,Prom.Año: Nac–alumno regular,10.0,4.73,3.5,31,18,56,32.14,5,2,0,1
996,20023993,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.6,538.0,542.0,534.9981818181818,540.8597449908925,522.7393162393163,529.039387308534,538.0136612021857,491.0,Prom.Ant: Nac–alumno regular,5.0,5.06,4.26,12,10,56,17.86,0,0,0,1
1001,20024333,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.0,620.0,622.0,458.0,523.0,522.7393162393163,471.0,490.5,552.0,Prom.Año: Nac–alumno regular,2.0,4.52,3.46,35,25,56,44.64,6,0,0,0
1005,20024431,M,Edad 24-26,Ingeco,2019,T1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.7,576.0,601.0,502.0,403.0,275.0,306.0,452.5,514.0,Prom.Ant: Nac–alumno regular,3.0,2.17,3.47,17,10,56,17.86,6,0,0,1
1008,20024469,M,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.13,441.0,441.0,494.0,550.0,536.0,535.0,522.0,480.0,Prom.Año: Nac–alumno regular,2.0,5.04,3.78,49,36,56,64.29,4,1,0,0
1013,20024562,F,Edad 24-26,Enfermeria,2018,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.6,744.0,771.0,551.0,648.0,522.7393162393163,606.0,599.5,677.0,Prom.Ant: Nac–alumno regular,5.0,5.18,5.81,45,44,56,78.57,0,0,0,0
1017,20024703,M,Edad 24-26,Ingeco,2019,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.65,548.0,548.0,494.0,454.0,522.7393162393163,422.0,474.0,599.0808080808081,Prom.Año: Nac–alumno regular,3.0,5.3,5.6,33,33,56,58.93,3,0,0,0
1020,20024916,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,BEA,Particular Subvencionado,Egreso media 2015-2020,6.55,734.0,850.0,603.0,669.0,594.0,652.0,636.0,709.0,Prom.Año: Nac–alumno regular,4.0,5.75,6.04,55,55,56,98.21,0,0,0,0
1025,20024972,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,4.95,404.0,404.0,556.0,550.0,492.0,529.039387308534,553.0,472.0,Prom.Año: Nac–alumno regular,8.0,4.65,4.6,58,51,56,91.07,7,0,0,0
1030,20025194,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Pagado,Egreso media 2015-2020,5.7,558.0,558.0,563.0,606.0,522.7393162393163,597.0,584.5,570.0,Prom.Año: Nac–alumno regular,10.0,5.21,5.78,56,55,56,98.21,1,0,0,0
1035,20025511,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.98,616.0,640.0,586.0,616.0,522.7393162393163,630.0,601.0,616.0,Prom.Año: Nac–alumno regular,6.0,4.962957516339872,6.0,31,31,56,55.36,8,0,0,0
1040,20025599,F,Edad 24-26,Ingeco,2021,H1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,5.7,559.0,561.0,372.0,529.0,522.7393162393163,501.0,450.5,512.0,Prom.Ant: Nac–alumno regular,6.0,5.04,5.04,5,5,56,8.93,0,0,0,0
1041,20037816,M,Edad 24-26,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Municipal,Egreso media 2015-2020,6.15,651.0,683.0,516.0,454.0,522.7393162393163,574.0,485.0,583.0,Prom.Año: Nac–alumno regular,6.0,4.24,5.33,48,42,56,75.0,4,0,0,0
1046,20062846,M,Edad 17-23,Enfermeria,2020,T2,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.0,778.0,850.0,522.0,468.0,850.0,491.0,495.0,664.0,Prom.Ant: Nac–alumno regular,2.0,5.74,5.88,24,23,56,41.07,1,0,0,0
1048,20071108,M,Edad 24-26,Enfermeria,2019,H1,OTRA PROVINCIA,BEA,Servicio Local de Educacion,Egreso media 2015-2020,6.5,742.0,785.0,437.0,560.0,522.7393162393163,521.0,498.5,639.0,Prom.Año: Nac–alumno regular,2.0,5.12,5.41,38,34,56,60.71,1,1,0,0
1051,20088454,M,Edad 24-26,Ingeco,2018,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.03,420.0,420.0,537.0,507.0,547.0,529.039387308534,522.0,599.0808080808081,Prom.Año: Nac–alumno regular,8.0,3.96,4.2,44,34,56,60.71,5,0,0,0
1055,20102254,F,Edad 24-26,Ingeco,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.25,466.0,466.0,541.0,543.0,469.0,529.0,542.0,502.0,Prom.Año: Nac–alumno regular,6.0,4.31,4.01,48,32,56,57.14,4,3,1,0
1060,20147305,F,Edad 24-26,Enfermeria,2017,H1,OTRA PROVINCIA,SIN BEA,Municipal,Egreso media 2015-2020,6.25,672.0,702.0,579.0,638.0,522.7393162393163,535.0,608.5,638.0,Prom.Año: Nac–alumno regular,1.0,5.3,5.97,54,54,56,96.43,0,0,0,0
1065,20148818,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.03,626.0,652.0,684.0,593.0,522.7393162393163,561.0,638.5,629.0,Prom.Año: Nac–alumno regular,4.0,5.28,5.95,55,55,56,98.21,0,0,0,0
1070,20148980,F,Edad 24-26,Enfermeria,2017,H1,ANTOFAGASTA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.9,599.0,618.0,534.0,642.0,522.7393162393163,602.0,588.0,598.0,Prom.Año: Nac–alumno regular,2.0,4.962957516339872,6.32,31,31,56,55.36,8,0,0,0
1075,20149142,F,Edad 24-26,Ingeco,2017,T1,ANTOFAGASTA,SIN BEA,Municipal,Egreso media 2015-2020,6.2,662.0,706.0,393.0,421.0,522.7393162393163,392.0,407.0,599.0808080808081,Prom.Año: Nac–alumno regular,3.0,5.16,4.76,51,46,56,82.14,2,1,0,0
1080,20149285,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,5.85,589.0,609.0,586.0,629.0,522.7393162393163,619.0,607.5,603.0,Prom.Año: Nac–alumno regular,7.0,5.45,6.15,55,55,56,98.21,0,0,0,0
1085,20149313,F,Edad 24-26,Enfermeria,2018,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,5.58,534.0,534.0,516.0,602.0,522.7393162393163,471.0,559.0,599.0808080808081,Prom.Año: Nac–alumno regular,6.0,5.53,5.94,48,48,56,85.71,0,0,0,0
1089,20149380,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Municipal,Egreso media 2015-2020,6.13,647.0,682.0,579.0,616.0,568.0,550.0,597.5,624.0,Prom.Año: Nac–alumno regular,7.0,5.53,5.94,55,55,56,98.21,0,0,0,0
1094,20149396,F,Edad 24-26,Enfermeria,2018,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.4,702.0,732.0,489.0,614.0,522.7393162393163,601.0,551.5,637.0,Prom.Ant: Nac–alumno regular,5.0,5.78,6.06,44,44,56,78.57,0,0,0,0
1098,20149438,F,Edad 24-26,Enfermeria,2017,H1,EL LOA,SIN BEA,Particular Subvencionado,Egreso media 2015-2020,6.2,661.0,680.0,612.0,578.0,524.0,561.0,595.0,628.0,Prom.Año: Nac–alumno regular,7.0,5.65,6.05,55,55,56,98.21,0,0,0,0
